uniform,normal
11.541745965985216,14.422072470137568
24.716071900780488,17.42074993072981
35.3010782999002,20.25025530342414
26.69373063001187,15.132833502087966
38.21104803879818,8.65065249361896
16.78884855161285,11.588290711025481
33.570722260387086,16.934136624873215
21.991410912272862,14.516268155120695
17.613656003442397,19.534999327470796
19.191512036207897,21.923467373567746
25.383743247623073,21.009955897598772
26.886048048968377,28.251893206387027
21.894956404291673,16.67421966853648
18.95829423510284,14.728422526853034
32.75627223885146,21.10012522811501
27.161173764405305,19.302545424989283
18.80145994938372,20.43855785334913
18.381186361078548,14.103140940603158
21.295622196747438,27.30253705777547
16.58014544926135,25.961559720671595
25.965410114173487,22.777689920313392
23.941723779969355,17.214786416036784
19.345281469156298,8.92135675627822
19.34956326274241,20.899166427054066
36.94982281095453,26.67323819091507
12.9107231925462,13.98885037044755
37.18519731031605,12.631506505443912
17.615392599883464,17.371723192167444
10.250131909464407,22.251329851247174
18.452618999719864,10.259276421005024
28.249192063316396,16.570273522606396
39.954409385574486,18.37878371244509
25.87348206824103,16.86125899106298
33.83703421808159,28.376620759597767
28.100249820995153,19.418732925066674
22.964511378160136,17.81748511740432
27.13531405486585,16.545189048540948
27.011657029717107,26.186296046590098
29.711099181047775,21.72704151791013
35.25664687255404,25.26336115600138
10.629956343614124,24.56473554524609
14.827300106671014,24.56274014977063
10.496436371609972,22.50158471576816
17.759202309913164,18.126120916098635
14.68406155482311,22.988731124427265
12.29753559033561,25.489217050677418
17.659333294884995,17.956069598750684
24.749135622317848,21.407784570853575
29.762293038348325,22.057519298673856
11.1393878378789,30.64321835893042
36.047717065456204,24.26779905248669
33.19859782251987,12.377828643918694
37.158447476134924,27.818523766115455
14.860055698193761,16.320596579323166
37.31264496899216,27.79806963786246
11.580094732319541,22.808157306897154
39.02547368147047,21.18641839415457
38.55248928861776,18.42887967600909
24.7764941724922,14.023522174689194
20.088090866753323,23.865463143851322
28.18910995152586,20.76117780503014
29.447775335655283,26.17022397364741
22.832985645788064,9.543603529339135
35.71339712935733,10.670005216513115
14.303016185581644,25.807585585099968
12.362737905710759,20.736976008628154
22.191136211195897,11.865174923596346
38.96096187379149,22.66028092675834
28.48105475516081,13.526916416143226
10.928755110777068,19.444960162349197
27.57354207245341,12.806139445777369
34.259553908122186,28.362494243225054
29.31631898087864,19.849387145898266
24.905686905028297,14.32014931182859
26.254209690088715,18.05950402566601
31.904550561585083,20.612846152397523
16.907290928927196,16.89317714990846
23.438327545074777,24.30674187663819
25.010775272289006,26.87161910721268
37.70424884829548,25.020377029449627
26.195836424418147,23.448530643320396
38.275987058953746,18.293002530603278
15.932349448640045,19.17683525531089
22.865616826861594,21.416858030981306
28.455584176750968,28.013337112843374
14.252050114691368,22.9637590618846
29.517022622896008,14.26086729482159
31.077990914629552,20.56427439063933
35.843769194887756,23.204933573830523
39.06343904381644,15.861058441456862
19.691969139944515,27.157380904018815
21.389323724657558,14.4837529868014
22.98800914307828,29.377881358446892
35.70221806290499,19.681956740393606
17.873221910650038,22.028936829561115
31.92849753999877,19.69540444405885
19.97118466594969,28.91118755448346
27.867084433793792,18.53594489970471
16.590955619081193,26.450737657138262
28.939772394880336,20.160685906776983
